Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039050,12/31/2021 14:51,-78.93806341,36.00346491,3,4,,4,4,,26,31,31,31,31,0.6,0,25.5,37,0
81432039050,12/31/2021 14:36,-78.93806341,36.00346491,3,3,,4,4,,26,30,30,30,30,0.59,0,25.5,37,0
81432039053,12/31/2021 14:36,-78.93799635,36.00350901,7,8,,8,8,,59,69,69,70,70,0.52,0,19.3,80,0
81432039053,12/31/2021 14:21,-78.93799635,36.00350901,7,8,,8,8,,60,70,71,71,71,0.54,0,18.9,82,0
81432039050,12/31/2021 14:21,-78.93806341,36.00346491,3,3,,3,3,,25,29,29,29,29,0.58,0,25.5,36,0
81432039050,12/31/2021 14:06,-78.93806341,36.00346491,3,3,,3,3,,23,27,28,28,28,0.59,0,25.6,36,0
81432039053,12/31/2021 14:06,-78.93799635,36.00350901,7,8,,8,8,,58,67,68,68,68,0.54,0,18.8,82,0
81432039053,12/31/2021 13:51,-78.93799635,36.00350901,7,8,,8,8,,57,67,67,67,67,0.55,0,18.7,83,0
81432039050,12/31/2021 13:51,-78.93806341,36.00346491,3,3,,3,3,,25,29,29,29,29,0.58,0,25.6,36,0
81432039053,12/31/2021 13:36,-78.93799635,36.00350901,7,8,,8,8,,58,68,68,68,68,0.56,0,18.2,84,0
81432039050,12/31/2021 13:36,-78.93806341,36.00346491,3,4,,4,4,,26,30,30,30,30,0.59,0,25.6,36,0
81432039050,12/31/2021 13:21,-78.93806341,36.00346491,3,4,,4,4,,26,30,30,31,31,0.6,0,25.6,36,0
81432039053,12/31/2021 13:21,-78.93799635,36.00350901,8,9,,9,9,,65,75,76,76,76,0.56,0,18.3,83,0
81432039053,12/31/2021 13:06,-78.93799635,36.00350901,8,8,,8,8,,62,72,73,73,73,0.53,0,18.4,83,0
81432039050,12/31/2021 13:06,-78.93806341,36.00346491,3,4,,4,4,,26,30,30,30,30,0.57,0,25.6,36,0
81432039050,12/31/2021 12:51,-78.93806341,36.00346491,3,3,,3,3,,25,29,29,29,29,0.56,0,25.6,36,0
81432039053,12/31/2021 12:51,-78.93799635,36.00350901,7,7,,7,7,,53,62,63,63,63,0.52,0,18.6,82,0
81432039050,12/31/2021 12:36,-78.93806341,36.00346491,3,3,,3,3,,25,29,29,29,29,0.58,0,25.6,36,0
81432039053,12/31/2021 12:36,-78.93799635,36.00350901,6,6,,6,6,,47,55,55,55,55,0.51,0,18.7,82,0
81432039050,12/31/2021 12:21,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.56,0,25.6,36,0
81432039053,12/31/2021 12:21,-78.93799635,36.00350901,6,6,,6,6,,47,54,55,55,55,0.5,0,18.7,82,0
81432039050,12/31/2021 12:06,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.55,0,25.6,36,0
81432039053,12/31/2021 12:06,-78.93799635,36.00350901,6,6,,6,6,,46,54,54,54,54,0.51,0,18.7,82,0
81432039050,12/31/2021 11:51,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.55,0,25.6,36,0
81432039053,12/31/2021 11:51,-78.93799635,36.00350901,5,6,,6,6,,44,51,51,51,52,0.51,0,18.7,82,0
81432039053,12/31/2021 11:36,-78.93799635,36.00350901,6,6,,6,6,,45,53,53,53,53,0.52,0,18.7,82,0
81432039050,12/31/2021 11:36,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.56,0,25.6,36,0
81432039050,12/31/2021 11:21,-78.93806341,36.00346491,3,4,,4,4,,26,30,30,30,30,0.59,0,25.7,36,0
81432039053,12/31/2021 11:21,-78.93799635,36.00350901,5,6,,6,6,,44,52,52,52,52,0.52,0,18.6,82,0
81432039053,12/31/2021 11:06,-78.93799635,36.00350901,6,7,,7,7,,50,58,59,59,59,0.53,0,18.8,82,0
81432039050,12/31/2021 11:06,-78.93806341,36.00346491,3,4,,4,4,,27,31,31,31,32,0.58,0,25.6,36,0
