Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039050,02/25/2022 05:52,-78.93806341,36.00346491,1,1,,1,1,,8,9,9,9,9,0.51,0,25.3,33,0
81432039053,02/25/2022 05:52,-78.93799635,36.00350901,5,5,,5,5,,44,51,52,52,52,0.51,0,7.7,83,0
81432039074,02/25/2022 06:06,-78.93817,36.0036,4,5,,5,5,,39,45,46,46,46,0.65,0,7.3,84,0
81432039053,02/25/2022 06:07,-78.93799635,36.00350901,5,5,,5,5,,43,50,50,50,50,0.52,16,7.7,83,16
81432039050,02/25/2022 06:07,-78.93806341,36.00346491,1,1,,1,1,,8,9,9,9,9,0.5,0,25.3,33,0
81432039072,02/25/2022 06:07,-78.938232,36.001427,4,5,,5,5,,38,45,45,45,45,0.64,0,7.4,84,0
81432039074,02/25/2022 06:21,-78.93817,36.0036,5,5,,5,5,,40,47,47,47,47,0.69,0,7.3,84,0
81432039053,02/25/2022 06:22,-78.93799635,36.00350901,5,5,,5,5,,42,49,50,50,50,0.52,0,7.8,83,0
81432039050,02/25/2022 06:22,-78.93806341,36.00346491,1,1,,1,1,,8,9,9,9,9,0.49,0,25.2,34,0
81432039072,02/25/2022 06:22,-78.938232,36.001427,4,5,,5,5,,39,45,46,46,46,0.65,0,7.4,84,0
81432039074,02/25/2022 06:36,-78.93817,36.0036,4,4,,4,4,,35,41,41,41,41,0.65,0,7.4,84,0
81432039053,02/25/2022 06:37,-78.93799635,36.00350901,4,4,,4,4,,37,43,43,43,43,0.5,0,7.8,83,0
81432039072,02/25/2022 06:37,-78.938232,36.001427,4,4,,4,4,,35,41,41,41,41,0.66,0,7.5,84,0
81432039050,02/25/2022 06:37,-78.93806341,36.00346491,1,1,,1,1,,7,8,8,8,8,0.49,0,25.2,33,0
81432039074,02/25/2022 06:51,-78.93817,36.0036,3,4,,4,4,,29,34,35,35,35,0.65,0,7.3,85,0
81432039053,02/25/2022 06:52,-78.93799635,36.00350901,3,4,,4,4,,31,36,37,37,37,0.49,0,7.7,83,0
81432039050,02/25/2022 06:52,-78.93806341,36.00346491,1,1,,1,1,,6,7,7,7,7,0.5,0,25.2,32,0
81432039072,02/25/2022 06:52,-78.938232,36.001427,3,3,,4,4,,28,33,33,33,33,0.63,0,7.4,84,0
81432039074,02/25/2022 07:06,-78.93817,36.0036,3,3,,3,3,,23,28,28,28,28,0.64,0,7.2,85,0
81432039072,02/25/2022 07:07,-78.938232,36.001427,3,3,,3,3,,24,28,28,28,28,0.62,0,7.4,84,0
81432039053,02/25/2022 07:07,-78.93799635,36.00350901,3,3,,3,3,,24,28,28,28,28,0.48,0,7.6,84,0
81432039050,02/25/2022 07:07,-78.93806341,36.00346491,1,1,,1,1,,5,6,6,6,6,0.5,0,25.2,32,0
81432039074,02/25/2022 07:21,-78.93817,36.0036,2,2,,2,2,,18,22,22,22,22,0.61,0,7.2,84,0
81432039072,02/25/2022 07:22,-78.938232,36.001427,2,2,,2,2,,18,21,21,21,21,0.6,0,7.4,84,0
81432039050,02/25/2022 07:22,-78.93806341,36.00346491,1,1,,1,1,,4,5,5,5,5,0.49,0,25.2,32,0
